"Avg_Slope","K_final","MeanSlope30m","PercentForestedLand","MEAN","PM_rank","Culvert_Count","Surface","StreamCros","HYDROGROUP","PARENT","Mean_TopoConvergence_50m","damaged"
7.05746711,0.24,7.261279914,1,6.33864872,6,0,"Unpaved","No","A","GF",6.7610976266861,"No"
5.22295563,0.24,9.014867567,0.947368421,6.307832548,6,0,"Unpaved","No","A","GF",6.26460644778083,"No"
4.87567629,0.1,11.15644365,1,6.269766861,6,0,"Unpaved","No","A","GF",5.31780395215871,"No"
5.36105618,0.55,6.194705939,1,6.042200236,5,0,"Unpaved","No","D","DT/GT",6.38594468985454,"No"
8.65631848,0.24,12.00933085,1,6.08860438,6,0,"Unpaved","No","A","GF",6.26337426535937,"No"
8.13535419,0.24,8.056330481,1,6.134786236,6,0,"Unpaved","No","A","GF",5.56435189701262,"No"
2.74570839,0.37,10.29223245,1,6.174435896,3,0,"Unpaved","No","C/D","DT",6.30023847794046,"No"
5.66498782,0.24,5.938495595,1,6.214679664,6,0,"Unpaved","No","A","GF",6.1551614111545,"No"
5.39317186,0.24,5.113177695,1,6.253327805,6,0,"Unpaved","No","A","GF",6.54665098384935,"No"
2.95301963,0.24,5.585476515,1,6.300852464,6,0,"Unpaved","No","A","GF",7.14522025320265,"No"
13.18688391,0.1,8.799763394,0.571428571,5.86158428,6,0,"Unpaved","No","A","GF",6.04877422072671,"No"
11.3030893,0.1,9.135788214,0.578947368,5.850141442,6,0,"Unpaved","No","A","GF",5.77963745246813,"No"
6.94270688,0.1,5.699285123,0.368421053,5.837992698,6,0,"Unpaved","No","A","GF",6.46289217958645,"No"
7.22956818,0.55,4.502237363,0.25,5.830278925,5,0,"Unpaved","No","D","DT/GT",6.68948541747199,"No"
4.28014052,0.1,9.165634252,0.428571429,5.889877139,6,0,"Unpaved","No","A","GF",5.9798655962944,"No"
4.25605173,0.24,14.77697222,0.315789474,5.896691047,6,0,"Unpaved","No","A","GF",6.47671226058343,"No"
3.41018516,0.24,10.03496566,0.421052632,5.904319001,6,0,"Unpaved","No","A","GF",5.75163068532944,"No"
4.97941502,0.24,7.156538749,0.5,5.912789298,6,0,"Unpaved","No","A","GF",5.73809111118317,"No"
4.90677266,0.24,11.22893474,0.588235294,5.921668695,6,0,"Unpaved","No","A","GF",5.2507527996512,"No"
13.05828178,0.24,14.88394372,0.380952381,5.930146921,6,0,"Unpaved","No","A","GF",4.89875637769699,"No"
5.55426712,0.24,18.9720795,0.388888889,5.938166261,6,0,"Unpaved","No","A","GF",5.4514260338802,"No"
2.08936345,0.24,14.45185673,0.166666667,5.943423311,6,0,"Unpaved","No","A","GF",5.13373755613963,"No"
10.57712093,0.55,7.034227011,0.5,5.904051739,5,0,"Unpaved","No","D","GT",6.08743385707631,"No"
9.6277733,0.55,9.602659837,0.75,5.935610771,5,0,"Unpaved","No","D","GT",5.41011846908415,"No"
2.68953628,0.55,11.41516361,0.684210526,5.965453416,5,0,"Unpaved","No","D","GT",5.40508078820635,"No"
2.47630598,0.55,9.838606256,0.523809524,5.993033014,5,0,"Unpaved","No","D","GT",5.60920746398694,"No"
4.00641091,0.55,10.79666282,0.6,6.020539193,5,0,"Unpaved","No","D","GT",5.5870417777938,"No"
4.00262238,0.55,13.71173239,0.9,6.047238839,5,0,"Unpaved","No","D","GT",5.55895406484604,"No"
9.25920239,0.55,7.891127475,0.894736842,6.02767294,5,0,"Unpaved","No","B","GT",6.22579556408495,"No"
8.45877724,0.55,10.05909568,1,6.054728615,5,0,"Unpaved","No","B","GT",6.20226095438004,"No"
10.14443665,0.32,12.25799123,0.55,6.062001651,5,0,"Unpaved","No","B","GT",6.36364883245881,"No"
9.06359822,0.32,13.34971602,0.333333333,6.061361129,5,0,"Unpaved","No","B","GT",5.25308965536264,"No"
7.24562725,0.37,5.95884947,0.526315789,6.326388989,3,0,"Unpaved","No","C/D","DT",6.63329048912124,"No"
6.63684835,0.37,4.461734639,0.5,6.326959445,3,0,"Unpaved","No","C/D","DT",6.93533093038231,"No"
5.18631061,0.55,3.838853877,0.384615385,6.327571293,5,0,"Unpaved","No","D","DT/GT",7.3040167724385,"No"
3.69172861,0.37,6.547320226,0.45,6.325007278,3,0,"Unpaved","No","C/D","DT",6.14945079284964,"No"
3.81450041,0.37,3.94157126,0.894736842,6.135536566,3,0,"Unpaved","No","C/D","DT",7.57856494903564,"No"
3.0457143,0.37,4.693649085,0.583333333,6.121827868,3,0,"Unpaved","No","C/D","DT",7.55126506282437,"No"
9.55754095,0.37,10.13563492,0.473684211,6.3131206,3,0,"Unpaved","No","C/D","DT",5.8351507235055,"No"
13.672574,0.55,6.399960306,1,6.30095551,5,0,"Unpaved","No","C","GT",5.88819180353723,"No"
6.37277155,0.55,4.926467877,0.842105263,6.291412156,5,0,"Unpaved","No","D","DT/GT",6.96942187318898,"No"
2.51492787,0.32,3.528308674,0.3,6.273794115,5,0,"Unpaved","No","B","GT",6.44931665420532,"No"
4.6299589,0.32,3.114442603,0.142857143,6.244315764,5,0,"Unpaved","No","B","GT",7.24149273881818,"No"
4.09799312,0.32,3.667743206,0.35,6.21325842,5,0,"Unpaved","No","B","GT",6.49037444711936,"No"
10.59336257,0.32,6.841458821,0.65,6.184757842,5,0,"Unpaved","No","B","GT",5.8455492718385,"No"
8.52065426,0.32,5.403290935,0.6,6.159260526,5,0,"Unpaved","No","B","GT",6.5010514497757,"No"
6.42228236,0.37,4.147229083,0,3.865663487,5,0,"Paved","No","B","GT/DT",7.326162981987,"No"
3.74557174,0.37,3.758806066,0,3.869141552,5,0,"Paved","No","B","GT/DT",7.07729527997036,"No"
8.13895547,0.32,6.204854453,0.105263158,3.853784794,5,1,"Paved","No","B","GT/DT",6.34411268041591,"No"
11.26721096,0.32,7.294135271,0.05,3.828680419,3,2,"Paved","No","C","DT",6.60527251720428,"No"
8.17234489,0.49,4.139255077,0.272727273,3.809996344,4,1,"Paved","No","D","GL",6.72327829324282,"No"
9.30760229,0.32,5.292879593,0.285714286,6.059423788,5,0,"Unpaved","No","B","GT",6.21261847496033,"No"
9.1234017,0.55,5.163185143,0.35,6.066395235,5,0,"Unpaved","No","B","GT",6.45843697547913,"No"
5.91273869,0.37,2.459311591,0,6.072960799,3,0,"Unpaved","No","C/D","DT",7.3933495759964,"No"
8.96486118,0.55,4.117387549,0.736842105,6.15311108,5,0,"Unpaved","No","C","GT",6.23999850584729,"No"
5.5661323,0.55,6.304325862,0.19047619,6.16295104,5,0,"Unpaved","No","C","GT",6.64235508796012,"No"
5.88120869,0.55,8.422636342,0,6.174777765,5,0,"Unpaved","No","C","GT",6.06262490749359,"No"
7.92082578,0.55,6.319069397,0.05,6.18786292,5,0,"Unpaved","No","C","GT",6.49919740932504,"No"
4.98201358,0.55,3.274558415,0,6.202258799,5,0,"Unpaved","No","C","GT",6.75468154784736,"No"
3.6061075,0.55,3.060268546,0,6.228769296,5,1,"Unpaved","No","D","GT",6.68964434137531,"No"
3.81754888,0.28,5.160300383,0.476190476,6.238890688,4,1,"Unpaved","No","C/D","GL",6.05163410697321,"No"
7.26134337,0.55,5.634337742,0.666666667,6.25157029,5,0,"Unpaved","No","C","GT",5.92608068721129,"No"
8.5626799,0.55,6.497909779,0.894736842,6.257480964,5,0,"Unpaved","No","C","GT",5.79899382832074,"No"
5.8412243,0.55,4.265889919,0.55,6.262946135,5,0,"Unpaved","No","C","GT",6.55341357414169,"No"
2.95552894,0.24,4.215381535,0.2,6.2576169,6,0,"Unpaved","No","A/D","GF",6.83780757869993,"No"
1.78139419,0.28,0.654217699,0.105263158,6.24428975,4,1,"Unpaved","No","C/D","GL",8.67434412500133,"No"
3.67905724,0.43,1.79700565,0.25,6.239152008,4,1,"Unpaved","Yes","C/D","GL",7.55590791086997,"No"
7.2942226,0.24,5.363037286,0.125,6.237132094,6,0,"Unpaved","No","A","GF",5.65432912186731,"No"
8.3848818,0.37,5.30228155,0.608695652,6.456430747,3,0,"Unpaved","No","C","DT",5.88468299791651,"No"
7.00810735,0.37,6.350699902,0.882352941,6.477427126,3,1,"Unpaved","No","C","DT",6.7081721286581,"No"
11.61297093,0.43,9.322632329,1,6.475028169,4,1,"Unpaved","No","C/D","GL",6.34587401332277,"No"
14.41657872,0.43,10.69365073,1,6.477892047,4,0,"Unpaved","No","C/D","GL",6.27115340752177,"No"
12.72991737,0.43,10.81060867,0.85,6.493479476,4,0,"Unpaved","No","C/D","GL",5.93971737776652,"No"
9.47620615,0.32,11.34126245,0.526315789,6.508510237,5,1,"Unpaved","No","B","GT",5.78653704758847,"No"
9.41830316,0.32,6.245332511,0.05,6.527387834,5,0,"Unpaved","No","B","GT",7.15552309989929,"No"
5.08433169,0.32,4.539467909,0,6.54261295,5,0,"Unpaved","No","B","GT",6.54098090800372,"No"
5.31112891,0.32,4.450707197,0,6.5587633,5,1,"Unpaved","No","B","GT",6.59735686158481,"No"
4.92669866,0.24,11.56143357,0.75,5.689242394,6,0,"Unpaved","No","A","GF",5.66230349063873,"No"
4.62199482,0.24,5.052528854,0.666666667,5.707838547,6,0,"Unpaved","No","A","GF",6.37604805707931,"No"
3.84142157,0.24,4.655725513,0.8,5.751138787,6,1,"Unpaved","No","A","GF",7.60599624026905,"No"
9.77165629,0.32,6.841593929,1,5.790310484,5,0,"Unpaved","No","B","GT",6.60711772203446,"No"
8.16398216,0.32,7.215659677,0.904761905,5.826882485,5,0,"Unpaved","No","B","GT",5.58869891405106,"No"
3.39893166,0.32,5.761125167,0.95,5.866606814,5,0,"Unpaved","No","B","GT",6.10658711616439,"No"
9.76606478,0.32,5.443781302,1,5.903437609,5,0,"Unpaved","No","B","GT",6.1077645912505,"No"
7.63040812,0.32,4.597739803,1,5.903651207,5,0,"Unpaved","No","B","GT",5.9386916425493,"No"
9.37282954,0.32,6.086395625,0.85,5.865960499,5,0,"Unpaved","No","B","GT",6.29042965290593,"No"
4.71311677,0.32,6.076905677,0.619047619,5.83166154,5,0,"Unpaved","No","B","GT",5.9688484571418,"No"
6.32919893,0.55,9.210512258,0.35,5.66961053,5,0,"Unknown","No","C","GT",5.68174093660682,"No"
